iter	Logloss
0	0.6930733422
1	0.6929626109
2	0.6928444958
3	0.6927517054
4	0.6926313409
5	0.6925343728
6	0.6924433288
7	0.6923317897
8	0.6922662235
9	0.6921714553
10	0.6921111564
11	0.692050346
12	0.6919798315
13	0.691894382
14	0.6918153112
15	0.6917583807
16	0.6916754224
17	0.6916151841
18	0.6915380481
19	0.6914533661
20	0.6913939831
21	0.6913519428
22	0.6912800208
23	0.691217566
24	0.6911622116
25	0.6910906366
26	0.6910468669
27	0.6909909114
28	0.6909421326
29	0.6908795541
30	0.6908284134
31	0.6907871042
32	0.690735623
33	0.6906835585
34	0.6906427259
35	0.6905715538
36	0.6905238183
37	0.6904691858
38	0.6904257974
39	0.690367471
40	0.6903210537
41	0.6902591503
42	0.6902110933
43	0.6901599479
44	0.6901161361
45	0.6900731586
46	0.6900264245
47	0.6899830312
48	0.6899527175
49	0.6899059095
50	0.6898625284
51	0.6898213698
52	0.6897867793
53	0.6897330552
54	0.6896908164
55	0.6896515508
56	0.68961458
57	0.689581855
58	0.6895335213
59	0.6894918197
60	0.6894645174
61	0.689424723
62	0.6893767847
63	0.6893305261
64	0.6892886875
65	0.6892569912
66	0.6892327144
67	0.6892073425
68	0.6891740117
69	0.6891304071
70	0.6890802472
71	0.689022787
72	0.688993572
73	0.6889656674
74	0.688934835
75	0.6889068267
76	0.6888700247
77	0.6888456236
78	0.688814047
79	0.6887895824
80	0.6887513842
81	0.6887179765
82	0.6886730516
83	0.6886294208
84	0.6885988741
85	0.6885668152
86	0.6885360644
87	0.6885118835
88	0.688491133
89	0.6884486959
90	0.6884101632
91	0.688374287
92	0.688314338
93	0.6882885601
94	0.6882630147
95	0.6882186573
96	0.6881858465
97	0.6881541467
98	0.6881268588
99	0.6881009002
100	0.6880696479
101	0.6880346782
102	0.6880139639
103	0.6879878923
104	0.6879489099
105	0.6879070652
106	0.6878833643
107	0.6878423957
108	0.6878170335
109	0.6877944969
110	0.6877639607
111	0.6877354752
112	0.6876977373
113	0.6876740796
114	0.6876351381
115	0.6875966488
116	0.6875653255
117	0.687543892
118	0.6875152114
119	0.6874803188
120	0.6874385623
121	0.6874061436
122	0.6873849468
123	0.6873644027
124	0.6873377113
125	0.6873061236
126	0.6872791818
127	0.687250743
128	0.6872155442
129	0.6871848868
130	0.6871561582
131	0.6871314583
132	0.6870996422
133	0.6870671625
134	0.6870514261
135	0.6870225024
136	0.6870067831
137	0.6869758127
138	0.6869486669
139	0.6869186461
140	0.6868741536
141	0.6868443209
142	0.6867896189
143	0.6867669908
144	0.6867209888
145	0.6866984153
146	0.6866595888
147	0.6866187647
148	0.6865868478
149	0.6865460995
150	0.6865085833
151	0.6864603697
152	0.6864210185
153	0.6863786046
154	0.686361099
155	0.686332929
156	0.6863012355
157	0.68626726
158	0.686242359
159	0.6862275894
160	0.6861851641
161	0.6861572989
162	0.6861306328
163	0.6861130031
164	0.6860957117
165	0.6860787779
166	0.6860502206
167	0.6860186308
168	0.6859919471
169	0.6859564876
170	0.6859308434
171	0.685893078
172	0.6858626901
173	0.6858401364
174	0.6858144116
175	0.6857935337
176	0.685741387
177	0.6857221631
178	0.6856749186
179	0.685649234
180	0.6856179412
181	0.6855893078
182	0.6855598878
183	0.6855405328
184	0.6855175607
185	0.6854842494
186	0.6854576092
187	0.6854380769
188	0.6854011366
189	0.6853851584
190	0.6853581011
191	0.6853369726
192	0.6853000131
193	0.6852793289
194	0.6852462374
195	0.685230135
196	0.6852100657
197	0.6851821119
198	0.6851471088
199	0.6851321074
200	0.6851137328
201	0.6850840247
202	0.6850587305
203	0.6850294441
204	0.6849979247
205	0.6849791089
206	0.6849614243
207	0.68491906
208	0.684896719
209	0.6848816284
210	0.6848581864
211	0.6848339315
212	0.6847975188
213	0.6847722078
214	0.6847490498
215	0.6847291275
216	0.684708877
217	0.684688316
218	0.6846691317
219	0.6846445174
220	0.6846183029
221	0.6845950101
222	0.6845561056
223	0.6845226854
224	0.6844959245
225	0.6844683546
226	0.6844467298
227	0.6844176639
228	0.6843908389
229	0.6843607316
230	0.6843446946
231	0.6843038526
232	0.6842813407
233	0.6842550002
234	0.6842292374
235	0.6841946267
236	0.6841712562
237	0.6841522404
238	0.6841345033
239	0.6841145366
240	0.6840836985
241	0.6840597193
242	0.6840292242
243	0.6840112575
244	0.6839883324
245	0.6839760735
246	0.6839451382
247	0.6839238773
248	0.6838888364
249	0.6838570066
250	0.6838263503
251	0.6838034799
252	0.6837782765
253	0.6837364115
254	0.6837088427
255	0.6836572818
256	0.6836125669
257	0.6835921678
258	0.6835752881
259	0.6835559986
260	0.68353242
261	0.6835170445
262	0.6834711655
263	0.6834414592
264	0.6834131517
265	0.6833920747
