iter	Passed	Remaining
0	14	43165
1	23	35410
2	30	30360
3	36	27275
4	43	26331
5	51	25598
6	57	24582
7	63	23927
8	70	23387
9	76	22913
10	82	22478
11	89	22225
12	95	21955
13	101	21678
14	109	21695
15	118	22033
16	125	21977
17	131	21855
18	138	21717
19	145	21638
20	151	21520
21	158	21426
22	165	21418
23	172	21382
24	178	21261
25	184	21114
26	191	21085
27	198	21037
28	205	21009
29	211	20978
30	219	21018
31	226	20986
32	232	20926
33	240	20957
34	246	20899
35	253	20836
36	259	20758
37	265	20709
38	272	20690
39	278	20644
40	285	20609
41	291	20562
42	298	20523
43	305	20491
44	311	20448
45	317	20391
46	323	20315
47	329	20270
48	335	20223
49	342	20182
50	348	20159
51	354	20116
52	361	20078
53	367	20070
54	373	19987
55	379	19954
56	386	19935
57	393	19935
58	399	19920
59	405	19891
60	412	19872
61	419	19855
62	425	19836
63	432	19825
64	439	19852
65	445	19814
66	451	19759
67	457	19706
68	463	19704
69	470	19683
70	475	19618
71	480	19554
72	486	19498
73	492	19474
74	497	19416
75	504	19404
76	510	19361
77	515	19327
78	522	19322
79	528	19285
80	534	19256
81	540	19241
82	547	19225
83	553	19214
84	559	19195
85	564	19144
86	572	19156
87	579	19162
88	585	19152
89	590	19104
90	596	19071
91	603	19063
92	608	19026
93	614	19001
94	620	18987
95	627	18981
96	633	18945
97	640	18966
98	646	18955
99	652	18936
100	658	18893
101	664	18872
102	670	18867
103	677	18861
104	683	18850
105	689	18834
106	696	18831
107	702	18803
108	707	18761
109	714	18763
110	720	18741
111	726	18732
112	732	18703
113	737	18674
114	743	18650
115	749	18645
116	755	18616
117	761	18587
118	766	18569
119	773	18552
120	779	18536
121	785	18524
122	790	18500
123	797	18489
124	802	18465
125	808	18450
126	814	18425
127	820	18399
128	825	18379
129	832	18372
130	838	18356
131	845	18360
132	852	18366
133	858	18357
134	864	18342
135	869	18320
136	876	18317
137	883	18314
138	888	18292
139	894	18263
140	900	18252
141	906	18238
142	912	18230
143	919	18240
144	925	18214
145	931	18212
146	939	18228
147	946	18243
148	954	18263
149	961	18259
150	967	18263
151	973	18249
152	979	18233
153	985	18220
154	991	18207
155	998	18212
156	1006	18225
157	1012	18214
158	1019	18211
159	1025	18209
160	1032	18206
161	1038	18191
162	1045	18200
163	1054	18235
164	1093	18785
165	1179	20141
166	1194	20261
167	1210	20409
168	1221	20461
169	1231	20508
170	1239	20512
171	1248	20520
172	1255	20509
173	1261	20485
174	1267	20464
175	1274	20443
176	1280	20415
177	1287	20406
178	1293	20390
179	1300	20372
180	1306	20341
181	1311	20311
182	1317	20277
183	1324	20267
184	1331	20263
185	1338	20244
186	1344	20232
187	1351	20208
188	1357	20184
189	1364	20178
190	1370	20156
191	1377	20148
192	1383	20128
193	1390	20113
194	1396	20089
195	1403	20078
196	1409	20054
197	1415	20034
198	1421	20009
199	1429	20010
200	1435	19983
201	1441	19972
202	1448	19951
203	1453	19925
204	1459	19899
205	1466	19888
206	1472	19869
207	1478	19849
208	1484	19821
209	1492	19828
210	1499	19821
211	1506	19808
212	1512	19788
213	1519	19779
214	1525	19757
215	1531	19739
216	1538	19729
217	1544	19715
218	1551	19701
219	1558	19690
220	1564	19669
221	1570	19658
222	1578	19651
223	1585	19644
224	1591	19623
225	1597	19606
226	1604	19600
227	1611	19593
228	1617	19575
229	1623	19555
230	1629	19534
231	1636	19522
232	1642	19509
233	1649	19492
234	1654	19471
235	1660	19451
236	1667	19436
237	1673	19417
238	1679	19405
239	1686	19393
240	1692	19377
241	1698	19361
242	1705	19349
243	1712	19339
244	1718	19320
245	1724	19307
246	1730	19286
247	1737	19281
248	1744	19272
249	1751	19262
250	1757	19253
251	1763	19233
252	1769	19216
253	1776	19202
254	1782	19188
255	1788	19173
256	1794	19155
257	1800	19139
258	1807	19132
259	1814	19124
260	1820	19101
261	1827	19097
262	1834	19088
263	1840	19076
264	1847	19066
265	1853	19055
266	1860	19046
267	1867	19037
268	1874	19029
269	1881	19025
270	1888	19016
271	1895	19011
272	1902	19001
273	1909	18999
274	1916	18989
275	1923	18979
276	1930	18976
277	1937	18967
278	1944	18961
